frame_id,captured_at,source_width,status,shift_feature_px,applied_shift_px,score,margin,band_disagreement_px,inlier_tile_count,confidence,crop_path,error
2023_0818_120000,2023-08-18T12:00:00,8247,accepted,42,677,0.6867831093961246,0.15434467954014142,0,8,0.8238154990353201,adjusted-crops/2023_0818_120000.jpg,
2023_0828_120000,2023-08-28T12:00:00,8247,accepted,42,677,0.6368726119797881,0.15358770040937414,0,8,0.7957408442386309,adjusted-crops/2023_0828_120000.jpg,
2023_0907_120000,2023-09-07T12:00:00,8247,accepted,42,677,0.629983978644951,0.14975074684938905,0,8,0.791865987987785,adjusted-crops/2023_0907_120000.jpg,
2023_0918_120000,2023-09-18T12:00:00,8247,accepted,42,677,0.6448944118258065,0.15668949119734987,0,8,0.8002531066520162,adjusted-crops/2023_0918_120000.jpg,
2023_0928_120000,2023-09-28T12:00:00,8247,accepted,43,693,0.6855376147509831,0.16448161391126748,0,8,0.8231149082974281,adjusted-crops/2023_0928_120000.jpg,
2023_1008_120000,2023-10-08T12:00:00,8247,accepted,42,677,0.6447197811660463,0.11007731632778583,0,8,0.800154876905901,adjusted-crops/2023_1008_120000.jpg,
2023_1018_120000,2023-10-18T12:00:00,8247,accepted,42,677,0.6779271459135394,0.11288588344184103,0,8,0.8188340195763659,adjusted-crops/2023_1018_120000.jpg,
2023_1029_120000,2023-10-29T12:00:00,8247,accepted,42,677,0.6517047507399777,0.12734843622616387,0,8,0.8040839222912375,adjusted-crops/2023_1029_120000.jpg,
2023_1108_120000,2023-11-08T12:00:00,8246,accepted,42,676,0.6923868676951965,0.12476419090692603,0,8,0.8269676130785482,adjusted-crops/2023_1108_120000.jpg,
2023_1118_120000,2023-11-18T12:00:00,8246,accepted,42,676,0.6452984368194375,0.0991116536482668,0,8,0.8004803707109336,adjusted-crops/2023_1118_120000.jpg,
2023_1128_120000,2023-11-28T12:00:00,8246,accepted,42,676,0.6192684464605008,0.08072557711839945,1,8,0.7670885011340316,adjusted-crops/2023_1128_120000.jpg,
2023_1209_120000,2023-12-09T12:00:00,8246,accepted,42,676,0.6272453572623707,0.10940478558874012,1,8,0.7715755134600835,adjusted-crops/2023_1209_120000.jpg,
2023_1219_120000,2023-12-19T12:00:00,8246,accepted,42,676,0.6312796882395625,0.11840113079465286,0,8,0.7925948246347538,adjusted-crops/2023_1219_120000.jpg,
2023_1229_120000,2023-12-29T12:00:00,8246,accepted,51,821,0.5602728864962422,0.10649100421591073,0,8,0.7526534986541362,adjusted-crops/2023_1229_120000.jpg,
2024_0108_120000,2024-01-08T12:00:00,8246,accepted,48,773,0.6248927513731394,0.09520076616435791,0,7,0.764002172647391,adjusted-crops/2024_0108_120000.jpg,
2024_0119_120000,2024-01-19T12:00:00,8246,accepted,43,693,0.5852391162407767,0.14761826514375576,0,8,0.766697002885437,adjusted-crops/2024_0119_120000.jpg,
2024_0129_120000,2024-01-29T12:00:00,8246,accepted,51,821,0.6354500556695307,0.10494630361390622,0,8,0.794940656314111,adjusted-crops/2024_0129_120000.jpg,
2024_0208_120000,2024-02-08T12:00:00,8246,accepted,49,789,0.5777168371254814,0.13398870363940235,0,8,0.7624657208830834,adjusted-crops/2024_0208_120000.jpg,
2024_0218_120000,2024-02-18T12:00:00,8246,accepted,50,805,0.6871546086327204,0.1775093610802967,0,8,0.8240244673559052,adjusted-crops/2024_0218_120000.jpg,
2024_0229_120000,2024-02-29T12:00:00,8246,accepted,43,693,0.6340033598035637,0.13780511053746802,1,8,0.7753768898895046,adjusted-crops/2024_0229_120000.jpg,
2024_0310_000000,2024-03-10T00:00:00,8246,accepted,43,693,0.5095391729796166,0.07821416296797573,0,8,0.7241157848010344,adjusted-crops/2024_0310_000000.jpg,
2024_0402_120000,2024-04-02T12:00:00,8246,accepted,44,709,0.7673867971829839,0.21204115460372686,1,8,0.8504050734154285,adjusted-crops/2024_0402_120000.jpg,
2024_0412_120000,2024-04-12T12:00:00,8246,accepted,43,693,0.6737048894253196,0.14418568119757358,0,8,0.8164590003017422,adjusted-crops/2024_0412_120000.jpg,
2024_0423_120000,2024-04-23T12:00:00,8246,accepted,51,821,0.7077292154456049,0.16982963910318527,1,8,0.8168476836881526,adjusted-crops/2024_0423_120000.jpg,
2024_0503_120000,2024-05-03T12:00:00,8246,accepted,54,870,0.7214359434872565,0.18070782642709549,0,8,0.8433077182115818,adjusted-crops/2024_0503_120000.jpg,
2024_0516_060000,2024-05-16T06:00:00,8246,accepted,52,837,0.4229217573656678,0.09665385400218202,1,7,0.6316434885181882,adjusted-crops/2024_0516_060000.jpg,
2024_0529_120000,2024-05-29T12:00:00,8246,accepted,48,773,0.5527244623397551,0.016149445320575828,3,8,0.6921575100661123,adjusted-crops/2024_0529_120000.jpg,
2024_0612_120000,2024-06-12T12:00:00,8246,accepted,52,837,0.7191677850166159,0.11919664150780873,1,8,0.8232818790718464,adjusted-crops/2024_0612_120000.jpg,
2024_0628_120000,2024-06-28T12:00:00,8246,accepted,54,870,0.6661694540189246,0.14738427316474867,0,8,0.8122203178856451,adjusted-crops/2024_0628_120000.jpg,
2024_0708_120000,2024-07-08T12:00:00,8246,accepted,39,628,0.7304135183970453,0.13757726173494111,0,8,0.848357604098338,adjusted-crops/2024_0708_120000.jpg,
2024_0718_120000,2024-07-18T12:00:00,8246,accepted,54,870,0.7325050935209462,0.1925245694523301,0,8,0.8495341151055322,adjusted-crops/2024_0718_120000.jpg,
2024_0801_120000,2024-08-01T12:00:00,8246,accepted,54,870,0.7509446254609135,0.16817539564759598,0,8,0.8599063518217638,adjusted-crops/2024_0801_120000.jpg,
2024_0811_120000,2024-08-11T12:00:00,8246,accepted,43,693,0.6340743219609967,0.12786532856264332,1,7,0.7504168061030607,adjusted-crops/2024_0811_120000.jpg,
2024_0821_120000,2024-08-21T12:00:00,8246,accepted,-85,-1369,0.525756458829051,0.15090634264837294,0,6,0.6832380080913412,adjusted-crops/2024_0821_120000.jpg,
2024_0904_120000,2024-09-04T12:00:00,8246,accepted,53,854,0.7532971884831872,0.1607078185462566,0,8,0.8612296685217928,adjusted-crops/2024_0904_120000.jpg,
2024_0914_120000,2024-09-14T12:00:00,8246,accepted,42,676,0.6446039067613422,0.13873608841363982,0,8,0.800089697553255,adjusted-crops/2024_0914_120000.jpg,
2024_0925_120000,2024-09-25T12:00:00,8246,accepted,47,757,0.6711146051661342,0.16581110077850436,0,8,0.8150019654059504,adjusted-crops/2024_0925_120000.jpg,
2024_1009_120000,2024-10-09T12:00:00,8246,accepted,43,693,0.6961869978529571,0.16282774024006463,0,8,0.8291051862922885,adjusted-crops/2024_1009_120000.jpg,
2024_1019_120000,2024-10-19T12:00:00,8246,rejected,-32,,0.20425966838410817,0.01133500587743913,178,6,0,,
2024_1029_120000,2024-10-29T12:00:00,8246,accepted,53,854,0.5267403808808896,0.11636436411206413,1,8,0.7150414642455003,adjusted-crops/2024_1029_120000.jpg,
2024_1109_120000,2024-11-09T12:00:00,8246,accepted,52,837,0.6788691939273,0.13683741805882854,0,8,0.8193639215841062,adjusted-crops/2024_1109_120000.jpg,
2024_1119_120000,2024-11-19T12:00:00,8246,accepted,52,837,0.661875200811191,0.1379148111941645,0,8,0.809804800456295,adjusted-crops/2024_1119_120000.jpg,
2024_1130_120000,2024-11-30T12:00:00,8246,accepted,44,709,0.6405984719160469,0.07549924512659867,0,8,0.7978366404527764,adjusted-crops/2024_1130_120000.jpg,
2024_1210_120000,2024-12-10T12:00:00,8246,accepted,53,854,0.6433073905126971,0.11259515167315415,0,8,0.7993604071633922,adjusted-crops/2024_1210_120000.jpg,
2024_1221_120000,2024-12-21T12:00:00,8246,accepted,42,676,0.6420092460504542,0.13300817616834515,0,8,0.7986302009033805,adjusted-crops/2024_1221_120000.jpg,
2024_1231_120000,2024-12-31T12:00:00,8246,accepted,52,837,0.6598308241943697,0.1336531122719149,0,8,0.8086548386093328,adjusted-crops/2024_1231_120000.jpg,
2025_0110_120000,2025-01-10T12:00:00,8246,accepted,46,741,0.49296638087423705,0.13486565473235418,1,7,0.6710435892417583,adjusted-crops/2025_0110_120000.jpg,
2025_0120_060000,2025-01-20T06:00:00,8246,rejected,43,,0.47455819951691397,0.055207632466688694,50,8,0,,
2025_0202_120000,2025-02-02T12:00:00,8246,accepted,-2,-32,0.506953264120128,0.1000303946153247,0,8,0.7226612110675721,adjusted-crops/2025_0202_120000.jpg,
2025_0212_120000,2025-02-12T12:00:00,8246,accepted,28,451,0.7453395635855102,0.20352500081341052,0,8,0.8567535045168495,adjusted-crops/2025_0212_120000.jpg,
2025_0222_120000,2025-02-22T12:00:00,8246,accepted,41,660,0.5814689438198958,0.09383726788962038,1,8,0.7458262808986913,adjusted-crops/2025_0222_120000.jpg,
