frame_id,shift_feature_px,shift_panorama_px,registration_score,cluster
2023_0818_000000,0,0.0,0.0,1
2023_0826_202000,1,4.25,0.9774,1
2023_0913_124000,0,0.0,1.0,1
2023_0922_085000,0,0.0,0.98521,1
2023_1001_050000,0,0.0,0.0,1
2023_1010_012000,0,0.0,0.0,1
2023_1027_174000,2,8.5,0.9359,1
2023_1105_135000,1,4.25,0.9933,1
2023_1114_100000,0,0.0,0.985,1
2023_1123_062000,1,4.25,0.57143,1
2023_1210_224000,0,0.0,0.0,1
2023_1219_184000,0,0.0,0.0,1
2023_1228_150000,32,136.0,0.96552,1
2025_0101_000000,0,0.0,0.0,1
2025_0101_002000,0,0.0,0.0,1
2025_0101_004000,0,0.0,0.0,1
2025_0101_010000,0,0.0,0.0,1
2025_0101_012000,0,0.0,0.0,1
2025_0101_014000,0,0.0,0.0,1
2025_0101_020000,0,0.0,0.0,1
2025_0101_022000,0,0.0,0.0,1
2025_0101_024000,0,0.0,0.0,1
2025_0101_030000,0,0.0,0.0,1
2025_0101_032000,-311,-1321.75,0.5,1
2025_0101_034000,-190,-807.5,0.5,1
2025_0101_040000,0,0.0,0.0,1
2025_0101_042000,0,0.0,0.0,1
2025_0101_044000,-43,-182.75,0.54545,1
2025_0101_050000,-343,-1457.75,0.58333,1
2025_0101_052000,0,0.0,0.0,1
2025_0101_054000,5,21.25,0.57143,1
2025_0101_060000,0,0.0,0.0,1
2025_0101_062000,-335,-1423.75,0.5,1
2025_0101_064000,0,0.0,0.0,1
2025_0101_070000,0,0.0,0.0,1
2025_0101_072000,0,0.0,0.0,1
2025_0101_074000,13,55.25,0.82278,1
2025_0101_080000,36,153.0,0.97163,1
2025_0101_081000,40,170.0,0.97973,1
2025_0101_082000,38,161.5,0.95092,1
2025_0101_083000,15,63.75,0.97872,1
2025_0101_084000,29,123.25,0.97778,1
2025_0101_085000,38,161.5,0.96364,1
2025_0101_090000,37,157.25,0.95862,1
2025_0101_091000,39,165.75,0.96897,1
2025_0101_092000,33,140.25,0.97535,1
2025_0111_194000,-1,-4.25,0.57143,1
2025_0129_121000,1,4.25,0.78276,1
2025_0207_082000,15,63.75,0.625,1
2025_0216_042000,0,0.0,0.0,1
2025_0225_004000,0,0.0,0.0,1
2025_0305_210000,0,0.0,0.0,1
2025_0314_170000,0,0.0,0.0,1
2025_0323_132000,-316,-1343.0,0.63372,1
2025_0410_054000,0,0.0,0.0,1
2025_0419_020000,0,0.0,0.0,1
2025_0428_134000,-2,-8.5,0.82656,1
2025_0506_182000,-418,-1776.5,0.53571,1
2025_0524_104000,-167,-709.75,0.98507,1
2025_0602_070000,-4,-17.0,0.98198,1
2025_0611_030000,0,0.0,0.0,1
2025_0619_232000,0,0.0,0.0,1
2025_0628_193000,-5,-21.25,0.80488,1
2025_0725_081000,-5,-21.25,0.98467,1
2025_0803_042000,0,0.0,0.0,1
2025_0812_004000,0,0.0,0.0,1
2025_0820_204000,-120,-510.0,0.66667,1
2025_0829_170000,7,29.75,0.968,1
2025_0916_092000,7,29.75,0.98,1
2025_0925_054000,77,327.25,0.57143,1
2025_1004_014000,0,0.0,0.0,1
2025_1012_220000,0,0.0,0.0,1
2025_1030_142000,7,29.75,0.97568,1
2025_1108_103000,7,29.75,0.98118,1
2025_1117_064000,0,0.0,0.0,1
2025_1126_030000,212,901.0,0.52941,2
2025_1204_230000,0,0.0,0.0,2
2025_1213_192000,0,0.0,0.0,1
2025_1231_115000,6,25.5,0.97521,1
2026_0109_080000,6,25.5,0.97516,1
2026_0118_040000,0,0.0,0.0,1
2026_0127_002000,7,29.75,0.57143,1
2026_0213_165000,5,21.25,0.95261,1
2026_0303_091000,6,25.5,0.97154,1
2026_0312_052000,0,0.0,0.0,1
2026_0321_014000,-44,-187.0,0.57143,1
2026_0329_214000,0,0.0,0.0,1
2026_0416_141000,4,17.0,0.98489,1
2026_0425_102000,5,21.25,0.94915,1
2026_0504_063000,4,17.0,0.9403,1
2026_0513_024000,0,0.0,0.0,1
2026_0521_230000,0,0.0,0.0,1
2026_0530_192000,5,21.25,0.93103,1
2026_0608_152000,4,17.0,0.97595,1
2026_0626_075000,4,17.0,0.9736,1
2026_0707_112000,4,17.0,0.99067,1
2026_0714_002000,0,0.0,0.0,1
2026_0722_202000,4,17.0,0.96212,1
2026_0809_125000,4,17.0,0.99787,1
2026_0818_090000,195,828.75,0.52941,2
